city,state,lat,lng
Bellamy,AL,32.4582,-88.1277
Belle Fontaine,AL,30.492,-88.1131
Benton,AL,32.3078,-86.818
Berlin,AL,34.1868,-86.7442
Berry,AL,33.6623,-87.6079
Bessemer,AL,33.3709,-86.9713
Billingsley,AL,32.661,-86.7087
Birmingham,AL,33.5277,-86.7987
Black,AL,31.0102,-85.7428
Blountsville,AL,34.0814,-86.5867
Blue Ridge,AL,32.501,-86.1839
Blue Springs,AL,31.6635,-85.5035
Boaz,AL,34.1985,-86.1529
Boligee,AL,32.7699,-88.0264
Bon Air,AL,33.2621,-86.3319
Bon Secour,AL,30.3222,-87.7271
Boykin,AL,32.0701,-87.2914
Brantley,AL,31.5822,-86.2569
Brantleyville,AL,33.2196,-86.882
Brent,AL,32.9421,-87.1753
Brewton,AL,31.1111,-87.0737
Bridgeport,AL,34.9495,-85.7243
Brighton,AL,33.4393,-86.9454
Brilliant,AL,34.0256,-87.7691
Bristow Cove,AL,34.1092,-86.241
Brook Highland,AL,33.4359,-86.6849
Brookside,AL,33.638,-86.9014
Brookwood,AL,33.2397,-87.3277
Broomtown,AL,34.3657,-85.5322
Brundidge,AL,31.7182,-85.8177
Bucks,AL,31.017,-88.0249
Butler,AL,32.0965,-88.2108
Calera,AL,33.1249,-86.745
Calvert,AL,31.154,-88.0169
Camden,AL,32.0007,-87.2967
Camp Hill,AL,32.8002,-85.6536
Carbon Hill,AL,33.8944,-87.5224
Cardiff,AL,33.6472,-86.9307
Carlisle-Rockledge,AL,34.114,-86.1191
Carlton,AL,31.343,-87.8378
Carolina,AL,31.2337,-86.5227
Carrollton,AL,33.2619,-88.0951
Castleberry,AL,31.3001,-87.027
Catherine,AL,32.1861,-87.4699
Cedar Bluff,AL,34.2217,-85.5877
Center Point,AL,33.6446,-86.6851
Centre,AL,34.1551,-85.6699
Centreville,AL,32.9597,-87.1334
Chatom,AL,31.4691,-88.246
Chelsea,AL,33.3255,-86.6299
Cherokee,AL,34.7577,-87.967
Chickasaw,AL,30.7714,-88.0793
Childersburg,AL,33.2961,-86.3457
Choccolocco,AL,33.6683,-85.7129
Chunchula,AL,30.9237,-88.2072
Citronelle,AL,31.0952,-88.2468
Clanton,AL,32.844,-86.623
Clay,AL,33.6976,-86.607
Clayhatchee,AL,31.2434,-85.7136
Clayton,AL,31.8822,-85.4604
Cleveland,AL,33.9965,-86.5671
Clio,AL,31.7085,-85.6109
Coaling,AL,33.1641,-87.3534
Coats Bend,AL,34.0774,-85.8742
Coffee Springs,AL,31.1664,-85.9102
Coffeeville,AL,31.7666,-88.0861
Coker,AL,33.2446,-87.6799
Collinsville,AL,34.267,-85.8652
Colony,AL,33.9413,-86.9016
Columbia,AL,31.2968,-85.1103
Columbiana,AL,33.193,-86.6115
Concord,AL,33.4674,-87.0392
Coosada,AL,32.4983,-86.3279
Cordova,AL,33.7613,-87.1925
Cottondale,AL,33.1922,-87.4544
Cottonwood,AL,31.0552,-85.3007
County Line,AL,33.821,-86.7198
Courtland,AL,34.6703,-87.3262
Cowarts,AL,31.2041,-85.3062
Creola,AL,30.8903,-88.01
Crossville,AL,34.2853,-85.9997
Cuba,AL,32.441,-88.3755
Cullman,AL,34.1777,-86.8407
Cullomburg,AL,31.7131,-88.2917
Cusseta,AL,32.7877,-85.3057
Dadeville,AL,32.8326,-85.7675
Daleville,AL,31.2915,-85.7117
Daphne,AL,30.6286,-87.8866
Dauphin Island,AL,30.2525,-88.1438
Daviston,AL,33.0556,-85.6371
Dayton,AL,32.3509,-87.6416
Deatsville,AL,32.5863,-86.3918
Decatur,AL,34.573,-86.9906
Deer Park,AL,31.2198,-88.3226
Delta,AL,33.447,-85.6746
Demopolis,AL,32.498,-87.8298
Detroit,AL,34.0274,-88.1678
Dodge City,AL,34.0453,-86.8837
Dora,AL,33.7292,-87.085
Dothan,AL,31.2335,-85.4069
Double Springs,AL,34.1502,-87.3912
Douglas,AL,34.1705,-86.3224
Dozier,AL,31.5031,-86.3694
Dunnavant,AL,33.5006,-86.538
Dutton,AL,34.6062,-85.9119
East Brewton,AL,31.0906,-87.0556
East Point,AL,34.1859,-86.7927
Eclectic,AL,32.6387,-86.0386
Edgewater,AL,33.5286,-86.9574
Edwardsville,AL,33.8411,-85.4523
Egypt,AL,34.0759,-86.1651
Elba,AL,31.4172,-86.0759
Elberta,AL,30.3855,-87.5888
Eldridge,AL,33.922,-87.6201
Elkmont,AL,34.9289,-86.9765
Elmore,AL,32.5552,-86.3425
Emelle,AL,32.7287,-88.3165
Emerald Mountain,AL,32.4396,-86.0857
Enterprise,AL,31.3276,-85.8459
Epes,AL,32.6906,-88.1405
Ethelsville,AL,33.4141,-88.2161
Eufaula,AL,31.9102,-85.1505
Eunola,AL,31.0326,-85.8409
Eutaw,AL,32.8436,-87.8987
Eva,AL,34.3274,-86.7614
Evergreen,AL,31.4342,-86.9723
Excel,AL,31.4264,-87.3433
Fairfield,AL,33.4747,-86.9194
Fairford,AL,31.178,-88.0728
Fairhope,AL,30.5217,-87.8815
Fairview,AL,34.2477,-86.6843
Falkville,AL,34.3793,-86.9086
Faunsdale,AL,32.4576,-87.5938
Fayette,AL,33.6943,-87.8307
Fayetteville,AL,33.1643,-86.4411
Fitzpatrick,AL,32.2113,-85.8784
Five Points,AL,33.0173,-85.3516
Flomaton,AL,31.0127,-87.2541
Florala,AL,31.0176,-86.3138
Florence,AL,34.8303,-87.6654
Foley,AL,30.3983,-87.6649
Forestdale,AL,33.5737,-86.9002
Forkland,AL,32.6489,-87.8671
Fort Deposit,AL,31.9863,-86.5664
Fort Payne,AL,34.4557,-85.6965
Fort Rucker,AL,31.3428,-85.7154
Franklin,AL,32.4514,-85.7864
Fredonia,AL,32.9861,-85.2912
Frisco City,AL,31.4353,-87.4037
Fruitdale,AL,31.3429,-88.4109
Fruithurst,AL,33.7297,-85.4312
Fulton,AL,31.7916,-87.7397
Fultondale,AL,33.6177,-86.8015
Fyffe,AL,34.4496,-85.9049
Gadsden,AL,34.009,-86.0156
Gainesville,AL,32.8149,-88.1608
Gallant,AL,34.0013,-86.2304
Gantt,AL,31.4092,-86.4842
Garden City,AL,34.0152,-86.752
Gardendale,AL,33.6678,-86.8069
Gaylesville,AL,34.2681,-85.5586
Geiger,AL,32.8698,-88.313
Geneva,AL,31.0437,-85.8763
Georgiana,AL,31.6391,-86.7468
Geraldine,AL,34.3577,-86.0037
Gilbertown,AL,31.8758,-88.3195
Glen Allen,AL,33.8922,-87.7328
Glencoe,AL,33.9449,-85.9319
Glenwood,AL,31.6675,-86.173
Goldville,AL,33.0841,-85.7831
Good Hope,AL,34.1098,-86.8651
Goodwater,AL,33.0608,-86.0516
Gordo,AL,33.322,-87.904
Gordon,AL,31.1436,-85.0925
Gordonville,AL,32.1489,-86.6994
Goshen,AL,31.7182,-86.1242
Graham,AL,33.4552,-85.3231
Grand Bay,AL,30.4717,-88.345
Grant,AL,34.5189,-86.2492
Grayson Valley,AL,33.6469,-86.6414
Graysville,AL,33.6583,-86.9674
Greensboro,AL,32.7014,-87.595
Greenville,AL,31.8437,-86.6379
Grimes,AL,31.2999,-85.4502
Grove Hill,AL,31.7006,-87.7748
Gu-Win,AL,33.9443,-87.8704
Guin,AL,33.9832,-87.9023
Gulf Shores,AL,30.2759,-87.7013
Gulfcrest,AL,30.9925,-88.2399
Guntersville,AL,34.367,-86.2638
Gurley,AL,34.7072,-86.3768
Hackleburg,AL,34.2693,-87.8303
Hackneyville,AL,33.0567,-85.9312
Haleburg,AL,31.4099,-85.1381
Haleyville,AL,34.2331,-87.6175
Hamilton,AL,34.1346,-87.9755
Hammondville,AL,34.5685,-85.6397
Hanceville,AL,34.0634,-86.7651
Harpersville,AL,33.3184,-86.4287
Hartford,AL,31.1055,-85.6916
Hartselle,AL,34.4391,-86.94
Harvest,AL,34.8558,-86.7521
Hatton,AL,34.561,-87.4136
Hayden,AL,33.8822,-86.7839
Hayneville,AL,32.1822,-86.5787
Hazel Green,AL,34.9237,-86.5671
Headland,AL,31.3501,-85.3523
Heath,AL,31.3579,-86.4673
Heflin,AL,33.6471,-85.5698
Helena,AL,33.2845,-86.8756
Henagar,AL,34.631,-85.7405
Highland Lake,AL,33.8876,-86.4244
Highland Lakes,AL,33.397,-86.6497
Hillsboro,AL,34.6408,-87.1837
Hissop,AL,32.8746,-86.1159
Hobson,AL,31.4836,-88.1513
Hobson City,AL,33.6148,-85.8561
Hodges,AL,34.334,-87.9299
Hokes Bluff,AL,33.9902,-85.8639
Hollins,AL,33.1213,-86.129
Hollis Crossroads,AL,33.5231,-85.6437
Holly Pond,AL,34.1696,-86.6125
Hollywood,AL,34.719,-85.965
Holt,AL,33.2302,-87.4827
Holtville,AL,32.6314,-86.3268
Homewood,AL,33.4617,-86.8092
Hoover,AL,33.3754,-86.8064
Horn Hill,AL,31.2382,-86.3211
Hueytown,AL,33.4237,-87.022
Huguley,AL,32.8431,-85.2397
Huntsville,AL,34.6988,-86.6412
Hurtsboro,AL,32.2401,-85.4147
Hytop,AL,34.8965,-86.088
Ider,AL,34.7022,-85.6691
Indian Springs Village,AL,33.3591,-86.7493
Irondale,AL,33.544,-86.6599
Ivalee,AL,34.0372,-86.1472
Jackson,AL,31.5318,-87.8915
Jacksons' Gap,AL,32.8831,-85.815
Jacksonville,AL,33.8088,-85.7545
Jasper,AL,33.8503,-87.2708
Jemison,AL,32.9696,-86.7339
Joppa,AL,34.2982,-86.5506
Kansas,AL,33.9029,-87.5568
Kellyton,AL,32.9791,-86.0358
Kennedy,AL,33.5809,-87.9862
Killen,AL,34.8607,-87.5269
Kimberly,AL,33.776,-86.7968
Kinsey,AL,31.2926,-85.3353
Kinston,AL,31.22,-86.1705
La Fayette,AL,32.8997,-85.4007
Ladonia,AL,32.4609,-85.0877
Lake View,AL,33.2802,-87.1258
Lanett,AL,32.8571,-85.2081
Langston,AL,34.5374,-86.0899
Leeds,AL,33.5429,-86.5636
Leesburg,AL,34.1839,-85.775
Leighton,AL,34.6941,-87.5282
Leroy,AL,31.4952,-87.969
Lester,AL,34.9877,-87.1515
Level Plains,AL,31.3071,-85.7687
Lexington,AL,34.9652,-87.3735
Libertyville,AL,31.2428,-86.46
Lillian,AL,30.4122,-87.432
Lincoln,AL,33.5935,-86.1371
Linden,AL,32.3001,-87.7926
Lineville,AL,33.313,-85.7508
Lipscomb,AL,33.4261,-86.926
Lisman,AL,32.1792,-88.3002
Littleville,AL,34.5951,-87.6719
Livingston,AL,32.5982,-88.1891
Loachapoka,AL,32.6049,-85.5948
Lockhart,AL,31.0128,-86.3505
Locust Fork,AL,33.8957,-86.6301
Lookout Mountain,AL,34.1091,-85.9585
Louisville,AL,31.781,-85.5583
Lowndesboro,AL,32.2764,-86.6108
Loxley,AL,30.6813,-87.7418
Luverne,AL,31.7186,-86.2687
Lynn,AL,34.0548,-87.5555
Macedonia,AL,33.4031,-88.2392
Madison,AL,34.7114,-86.7626
Madrid,AL,31.0356,-85.3992
Magnolia Springs,AL,30.4003,-87.7748
Malcolm,AL,31.1945,-88.0016
Malvern,AL,31.1428,-85.521
Maplesville,AL,32.7867,-86.8783
Marbury,AL,32.6793,-86.4607
Margaret,AL,33.6735,-86.468
Marion,AL,32.6318,-87.3172
Maytown,AL,33.5489,-86.9999
McDonald Chapel,AL,33.5189,-86.9385
McIntosh,AL,31.2649,-88.0284
McKenzie,AL,31.5428,-86.7246
McMullen,AL,33.1481,-88.1757
Meadowbrook,AL,33.3932,-86.7041
Megargel,AL,31.3781,-87.4307
Memphis,AL,33.1369,-88.3008
Mentone,AL,34.5663,-85.5842
Meridianville,AL,34.8729,-86.5722
Midfield,AL,33.4552,-86.9226
Midland City,AL,31.3157,-85.4937
Midway,AL,32.0764,-85.5244
Mignon,AL,33.1948,-86.2651
Millbrook,AL,32.5028,-86.3737
Millerville,AL,33.1926,-85.9303
Millport,AL,33.5586,-88.0817
Millry,AL,31.6256,-88.3191
Minor,AL,33.5389,-86.9402
Mobile,AL,30.6783,-88.1162
Monroeville,AL,31.5162,-87.3279
Montevallo,AL,33.1246,-86.8476
Montgomery,AL,32.3473,-86.2666
Moody,AL,33.5986,-86.4963
Moores Mill,AL,34.8491,-86.5222
Mooresville,AL,34.627,-86.8799
Morris,AL,33.7467,-86.8037
Morrison Crossroads,AL,33.4198,-85.4903
Mosses,AL,32.1801,-86.6888
Moulton,AL,34.4843,-87.2831
Moundville,AL,32.9968,-87.6272
Mount Olive,AL,33.6778,-86.8726
Mount Vernon,AL,31.0889,-88.0137
Mountain Brook,AL,33.4871,-86.74
Movico,AL,31.0628,-88.0266
Mulga,AL,33.5534,-86.9735
Munford,AL,33.5259,-85.9554
Muscle Shoals,AL,34.7436,-87.6344
Myrtlewood,AL,32.2521,-87.9492
Nanafalia,AL,32.1114,-87.9957
Nances Creek,AL,33.8588,-85.6733
Napier Field,AL,31.3149,-85.4549
Natural Bridge,AL,34.0904,-87.6014
Nauvoo,AL,33.9873,-87.4876
Nectar,AL,33.9686,-86.6346
